plot_nr;zielkoordinate_srs;zielkoordinate_x;zielkoordinate_y;koordinate_srs;koordinate_x;koordinate_y;hang;wzp_k;wzp_anz;g
1;EPSG:25832;566788.84;5712412.1;EPSG:25832;5.667.887.500.525.220;5.712.418.698.831.550;15.4;1.0;46.0;46.0
18;EPSG:25832;566846.77;5712571.6;EPSG:25832;5.668.544.674.209.600;5.712.579.939.637.460;10.5;2.0;20.0;40.0
9;EPSG:25832;566861.32;5712446.0;EPSG:25832;566.857.428.455.652;5.712.443.214.758.660;13.0;3.25;9.0;29.25
5;EPSG:25832;566825.08;5712429.0;EPSG:25832;566.804.448.131.328;571.240.834.014.753;24.0;2.0;26.0;52.0
10;EPSG:25832;566844.39;5712482.2;EPSG:25832;5.668.438.501.036.920;5.712.490.039.409.630;22.0;2.0;20.0;40.0
16;EPSG:25832;566989.36;5712549.9;EPSG:25832;566.983.551.475.643;5.712.545.415.940.040;0.0;1.93;7.0;13.51
14;EPSG:25832;566916.88;5712516.1;EPSG:25832;566.908.394.794.558;5.712.505.437.408.020;16.1;4.0;12.0;48.0
15;EPSG:25832;566953.12;5712533.0;EPSG:25832;5.669.574.061.711.560;5.712.531.903.164.820;3.5;1.0;9.0;9.0
2;EPSG:25832;566771.91;5712448.3;EPSG:25832;5.667.703.341.123.270;5.712.452.214.655.360;11.5;2.0;25.0;50.0
4;EPSG:25832;566738.05;5712520.8;EPSG:25832;5.667.473.640.791.070;5.712.515.006.440.800;11.0;2.0;27.0;54.0
3;EPSG:25832;566754.98;5712484.6;;;;13.1;2.0;22.5;45.0
13;EPSG:25832;566880.64;5712499.1;EPSG:25832;5.668.828.342.653.000;5.712.512.159.964.900;19.8;2.0;15.5;31.0
11;EPSG:25832;566827.46;5712518.4;EPSG:25832;5.668.153.505.636.470;5.712.542.697.238.500;24.0;2.0;27.0;54.0
12;EPSG:25832;566810.53;5712554.7;EPSG:25832;566.826.481.044.121;571.256.000.230.006;8.0;2.0;21.0;42.0
20;EPSG:25832;566936.19;5712569.2;EPSG:25832;566.932.069.841.651;57.125.719.939.455;9.3;4.0;3.0;12.0
19;EPSG:25832;566899.95;5712552.3;EPSG:25832;566.904.460.835.336;571.255.395.009.899;13.7;4.0;9.0;36.0
8;EPSG:25832;566774.29;5712537.7;;;;14.0;2.0;36.0;72.0
7;EPSG:25832;566791.22;5712501.5;;;;18.0;1.0;40.0;40.0
6;EPSG:25832;566808.15;5712465.3;EPSG:25832;56.680.364.293.612;571.245.770.417.927;17.0;2.0;25.0;50.0
17;EPSG:25832;566863.7;5712535.4;EPSG:25832;5.668.518.255.315.350;5.712.533.497.511.280;20.4;2.0;30.0;60.0
